dialogue,anger,disgust,fear,joy,neutral,sadness,surprise,age,gender,pitch,tempo,loudness
"Sometimes, the strongest people are the ones who love beyond all faults, cry behind closed doors, and fight battles nobody knows about.",0.032678548,0.053737424,0.002953566,0.04539641,0.812281907,0.049538456,0.003413745,,,,,
"The best revenge is living well, and eating a really delicious meal without them.",0.387647271,0.123160824,0.001303326,0.022533404,0.453748792,0.008102063,0.003504343,,,,,
Adventure awaits at the intersection of 'yes' and 'why not.',0.011528199,0.00388776,0.103710741,0.014233255,0.832842112,0.008792683,0.025005266,,,,,
Life is like a cup of tea – it's all in how you make it.,0.005154872,0.003679705,0.001268615,0.006459541,0.968399525,0.002235376,0.012802307,,,,,
I'm not arguing; I'm just explaining why I'm right.,0.111954175,0.05582438,0.005914491,0.010266494,0.802210391,0.008796625,0.005033442,,,,,
Happiness is not a destination; it's a way of life.,0.009941946,0.041073419,0.001600702,0.047085762,0.171147853,0.724356711,0.004793548,,,,,
"If someone tells you that you can't do something, prove them wrong.",0.865247846,0.036809906,0.021672837,0.001483585,0.065154403,0.007842366,0.00178916,,,,,
Being both soft and strong is a combination very few have mastered.,0.003671068,0.02863406,0.004541289,0.003529661,0.936928153,0.007454242,0.015241507,,,,,
The best ideas often come from the quietest voices.,0.002872473,0.006136106,0.002034408,0.149179548,0.818300009,0.00690903,0.014568415,,,,,
Don't be a woman who needs a man; be a woman a man needs.,0.091924943,0.140343219,0.019993959,0.012980748,0.684794366,0.039446346,0.01051638,,,,,
"Life isn't perfect, but your hair can be.",0.005717476,0.014026185,0.006906802,0.053289164,0.846712947,0.063902296,0.00944508,,,,,
"If you stumble, make it part of the dance.",0.007753469,0.013874171,0.507161379,0.006959738,0.423204273,0.035565462,0.005481489,,,,,
A smile is the best makeup any girl can wear.,0.00574874,0.016679414,0.000508097,0.756880641,0.204241201,0.005088073,0.010853768,,,,,
